Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Referee,Match Report,Notes,Shots on target against,Saves,Save %,Clean sheets,PSxG,PSxG+/-,40+ yard GK passes completed,40+ yard GK passes attempted,40+ yard GK completion %,GK open play passes attempted,GK throws attempted,% of passes launched by GK,Average length of GK pass,Goalkicks attempted,% of goakicks launched,Average length of goalkicks,Opposition crosses into area,Penalty area crosses stopped,Penalty area crosses stopped %,Def actions outside penalty area by GK,Average distance of GK def actions,Goals,Pens scored,Pens attempted,Shots,Shots on target,Free-kick shots,Shot on target %,Goals/Shot,Goals/Shots on target,npxG,npxG/Shot,Goals-xG,np:Goals-xG,Total passes completed,Total passes attempted,Total pass %,Total distance of passes,Progressive distance of passes,Short passes completed,Short passes attempted,Short pass %,Medium passes completed,Medium passes attempted,Medium pass %,Long passes completed,Long passes attempted,Long pass %,Assists,xA,Key passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Progressive passes,Live passes,Dead ball passes,Free-kick passes,Through balls,Passes under pressure,Switches,Crosses,Corners,In-swinging corners,Out-swinging corners,Straight corners,Ground passes,Low passes,High passes,Left foot passes,Right foot passes,Headed passes,Throws taken,Other body part passes,Offsides,Out of bounds passes,Intercepted passes,Blocked passes,SCA,Live pass SCA,Dead ball SCA,Dribble SCA,Shot SCA,Foul SCA,GCA,Live pass GCA,Dead ball GCA,Dribble GCA,Shot GCA,Foul GCA,Own goal GCA,Tackles attempted,Tackles won,Tackles in def 3rd,Tackles in mid 3rd,Tackles in final 3rd,Tackles won against dribbles,Tackles attempted vs dribbles,Tackle% against dribbles,# Dribbled past,Pressures,Successful pressures,Pressure success %,Pressures in def 3rd,Pressures in mid 3rd,Pressures in final 3rd,Blocks,Shots blocked,Shots on target blocked,Passes blocked,Interceptions,Clearances,Errors,Touches,Touches in def area,Touches in def 3rd,Touches in middle 3rd,Touches in final 3rd,Touches in opposition pen area,Live ball touches,Successful dribbles,Attempted dribbles,Dribble success %,#Players dribbled past,Nutmegs,Carries,Total distance of carries,Progressive distance of carries,Targets,Balls received %,Miscontrols,Dispossessed,Points taken
2019-12-04,19:30 (01:00),Matchweek 15,Wed,Home,W,2,1,Aston Villa,2.3,0.8,64,40628.0,César Azpilicueta,4-2-3-1,Chris Kavanagh,Match Report,,3,2,0.667,0,0.8,-0.2,2,6,33.3,23,7,17.4,26.8,4,50.0,45.5,12,2,16.7,0,7.8,2,0,0,25,9,1,36.0,0.08,0.22,2.3,0.09,-0.3,-0.3,578,674,85.8,9931,3291,21,39,53.8,459,500,91.8,98,135,72.6,2,1.8,19,41,17,4,68,631,43,9,0,106,16,26,9,5,4,0,484,64,126,50,563,21,19,10,0,10,8,18,39,31,1,5,1,1,4,4,0,0,0,0,0,25,16,11,9,5,4,18,22.2,14,202,61,30.2,60,97,45,12,5,0,7,6,21,0,804,58,204,411,236,45,760,18,25,72.0,18,1,565,2935,1689,642,90.0,11,20,3
2019-12-07,12:30 (18:00),Matchweek 16,Sat,Away,L,1,3,Everton,1.0,1.6,71,39114.0,César Azpilicueta,4-2-3-1,Craig Pawson,Match Report,,7,4,0.5710000000000001,0,2.5,-0.5,2,10,20.0,34,6,26.5,35.3,6,16.7,25.5,8,0,0.0,1,23.3,1,0,0,15,4,0,26.7,0.07,0.25,1.0,0.07,0.0,0.0,543,638,85.1,11571,3533,8,23,34.8,363,399,91.0,172,216,79.6,0,0.8,12,52,20,6,81,581,57,16,1,120,27,23,5,0,3,1,468,74,96,77,507,9,26,8,3,10,14,12,25,18,3,1,1,2,0,0,0,0,0,0,0,17,11,13,2,2,4,13,30.8,9,105,34,32.4,42,42,21,9,3,0,6,11,29,1,789,70,292,348,205,43,734,26,41,63.4,28,1,518,3173,1888,615,88.3,16,21,0
2019-12-14,15:00 (20:30),Matchweek 17,Sat,Home,L,0,1,Bournemouth,1.7,0.9,65,40243.0,César Azpilicueta,4-2-3-1,Graham Scott,Match Report,,2,1,0.5,0,0.7,-0.3,4,14,28.6,31,5,32.3,32.7,6,66.7,51.3,9,0,0.0,2,18.7,0,0,0,16,4,1,25.0,0.0,0.0,1.7,0.11,-1.7,-1.7,510,648,78.7,11029,2813,3,20,15.0,345,406,85.0,162,222,73.0,0,1.2,9,44,13,7,58,599,49,13,0,110,22,42,9,1,7,1,448,82,118,112,465,26,19,7,3,16,9,22,20,14,2,1,2,1,0,0,0,0,0,0,0,23,12,8,10,5,1,7,14.3,6,151,56,37.1,44,60,47,17,5,0,12,11,31,0,769,73,211,386,223,37,722,3,5,60.0,4,0,529,3122,1818,615,82.9,13,5,0
2019-12-22,16:30 (22:00),Matchweek 18,Sun,Away,W,2,0,Tottenham,1.4,0.4,54,61104.0,César Azpilicueta,3-4-3,Anthony Taylor,Match Report,,1,1,1.0,1,0.6,0.6,7,15,46.7,27,6,40.7,38.4,4,100.0,72.3,6,1,16.7,1,16.2,2,1,1,12,2,1,16.7,0.08,0.5,0.6,0.06,0.6,0.4,488,599,81.5,9824,2922,9,22,40.9,349,398,87.7,130,179,72.6,1,0.4,8,42,12,4,47,560,39,6,2,125,14,19,5,2,1,0,373,74,152,124,411,22,23,7,1,7,4,16,22,16,2,1,0,3,4,2,1,0,0,1,0,13,8,6,7,0,4,18,22.2,14,197,61,31.0,67,87,43,20,4,0,16,12,20,0,707,56,226,321,210,27,668,15,22,68.2,17,0,469,2687,1309,577,84.6,14,13,3
2019-12-26,15:00 (20:30),Matchweek 19,Thu,Home,L,0,2,Southampton,0.5,0.8,66,40651.0,César Azpilicueta,3-4-3,Jonathan Moss,Match Report,,3,1,0.33299999999999996,0,1.6,-0.4,4,7,57.1,31,5,19.4,29.3,6,16.7,25.7,4,1,25.0,5,25.7,0,0,0,10,4,1,40.0,0.0,0.0,0.5,0.05,-0.5,-0.5,589,730,80.7,11151,3572,18,41,43.9,435,501,86.8,136,188,72.3,0,0.5,9,50,16,0,71,670,60,10,1,125,24,33,8,4,2,0,468,164,98,140,512,23,33,9,1,7,7,26,19,13,4,1,0,1,0,0,0,0,0,0,0,28,20,10,13,5,7,19,36.8,12,137,51,37.2,28,76,33,12,3,0,9,11,37,0,887,63,240,413,287,33,830,23,32,71.9,25,0,639,3478,1898,702,83.9,19,26,0
2019-12-29,14:00 (19:30),Matchweek 20,Sun,Away,W,2,1,Arsenal,1.7,0.9,58,60309.0,César Azpilicueta,3-4-3,Craig Pawson,Match Report,,2,1,0.5,0,0.7,-0.3,4,8,50.0,24,7,29.2,29.1,6,16.7,24.0,5,0,0.0,1,15.3,2,0,0,13,4,0,30.8,0.15,0.5,1.7,0.13,0.3,0.3,507,614,82.6,10532,2785,15,31,48.4,344,392,87.8,148,191,77.5,2,0.7,9,35,9,1,44,563,51,15,1,121,31,23,3,0,0,2,401,77,136,85,470,13,25,11,1,11,8,18,18,11,4,0,1,2,4,2,1,0,0,1,0,24,17,9,13,2,8,15,53.3,7,175,58,33.1,33,98,44,12,0,0,12,12,21,0,725,59,183,402,191,25,676,8,13,61.5,9,0,520,2748,1406,597,84.9,8,12,3
2020-01-01,12:30 (18:00),Matchweek 21,Wed,Away,D,1,1,Brighton,1.6,1.0,52,30559.0,César Azpilicueta,4-2-3-1,Stuart Attwell,Match Report,,5,4,0.8,0,1.7,0.7,3,8,37.5,22,2,27.3,32.4,7,28.6,30.3,8,1,12.5,1,31.0,1,0,0,16,4,0,25.0,0.06,0.25,1.6,0.11,-0.6,-0.6,455,571,79.7,8621,2820,6,20,30.0,353,406,86.9,96,145,66.2,0,0.8,11,28,7,1,40,524,47,8,1,139,19,15,3,1,2,0,360,93,118,74,435,19,27,4,3,14,5,15,21,15,3,1,1,1,1,0,0,0,1,0,0,29,17,12,12,5,8,16,50.0,8,192,60,31.3,60,71,61,18,7,0,11,19,31,0,714,82,290,307,155,35,669,9,15,60.0,10,0,452,2338,1162,532,85.5,12,15,1
2020-01-11,15:00 (20:30),Matchweek 22,Sat,Home,W,3,0,Burnley,2.7,0.5,65,40396.0,César Azpilicueta,4-3-3,Kevin Friend,Match Report,,1,1,1.0,1,0.1,0.1,1,8,12.5,28,3,17.9,29.0,4,75.0,57.8,6,0,0.0,1,18.0,3,1,1,17,7,1,41.2,0.12,0.29,1.9,0.12,0.3,0.1,502,590,85.1,9840,2776,10,19,52.6,375,413,90.8,117,158,74.1,2,1.7,13,34,19,7,46,537,53,8,0,86,22,28,10,0,4,1,395,116,79,98,451,6,30,4,5,7,8,10,32,26,2,0,2,2,6,5,0,0,0,1,0,15,10,7,7,1,2,16,12.5,14,108,34,31.5,41,48,19,13,4,1,9,8,39,0,721,59,207,337,217,42,667,8,14,57.1,10,1,526,2815,1653,564,89.0,18,9,3
2020-01-18,17:30 (23:00),Matchweek 23,Sat,Away,L,0,1,Newcastle Utd,2.1,0.6,69,52217.0,César Azpilicueta,4-3-3,Chris Kavanagh,Match Report,,2,1,0.5,0,0.6,-0.4,2,5,40.0,10,2,20.0,25.7,5,60.0,43.6,7,0,0.0,0,7.0,0,0,0,19,4,1,21.1,0.0,0.0,2.1,0.11,-2.1,-2.1,584,703,83.1,10947,2773,12,26,46.2,444,508,87.4,128,169,75.7,0,1.4,15,50,15,2,59,653,50,9,1,98,19,32,10,5,3,0,492,108,103,77,554,26,24,8,2,12,15,15,32,29,1,1,0,1,0,0,0,0,0,0,0,15,8,4,8,3,3,13,23.1,10,138,41,29.7,44,54,40,15,0,0,15,18,15,0,810,28,145,355,370,38,760,5,11,45.5,5,0,603,3580,2231,691,84.5,9,11,0
2020-01-21,20:15 (01:45),Matchweek 24,Tue,Home,D,2,2,Arsenal,2.9,0.5,60,40577.0,César Azpilicueta,4-3-3,Stuart Attwell,Match Report,,2,0,0.0,0,0.6,-1.4,1,4,25.0,15,1,26.7,30.3,1,0.0,20.0,4,0,0.0,1,31.0,2,1,1,18,7,0,38.9,0.06,0.14,2.1,0.12,-0.9,-1.1,509,601,84.7,9998,2543,5,13,38.5,374,425,88.0,130,163,79.8,1,2.0,17,47,19,6,54,553,48,6,0,113,20,35,18,4,2,2,436,60,105,107,435,20,20,5,2,9,6,10,34,26,4,1,0,3,4,1,1,1,0,1,0,23,8,13,9,1,8,16,50.0,8,163,40,24.5,42,76,45,13,0,0,13,10,24,0,724,46,163,323,275,51,675,12,23,52.2,14,0,505,2853,1631,563,90.4,7,7,1
2020-02-01,12:30 (18:00),Matchweek 25,Sat,Away,D,2,2,Leicester City,0.5,1.5,51,32186.0,César Azpilicueta,4-2-3-1,Lee Mason,Match Report,,4,2,0.5,0,1.0,-1.0,5,12,41.7,24,3,29.2,29.3,7,71.4,53.9,5,0,0.0,0,10.0,2,0,0,7,3,1,42.9,0.29,0.67,0.5,0.07,1.5,1.5,408,507,80.5,7830,2418,14,23,60.9,298,336,88.7,96,148,64.9,2,0.3,4,25,6,1,38,446,61,16,1,130,17,14,6,2,2,0,312,81,114,87,355,21,29,7,1,11,3,10,9,5,2,0,0,2,3,0,2,0,0,1,0,19,13,10,8,1,2,8,25.0,6,213,69,32.4,62,84,67,18,6,0,12,10,37,0,655,69,217,332,141,20,598,8,18,44.4,10,0,371,2163,1100,470,86.8,18,24,1
2020-02-17,20:00 (01:30),Matchweek 26,Mon,Home,L,0,2,Manchester Utd,1.3,0.8,61,40504.0,César Azpilicueta,4-3-3,Anthony Taylor,Match Report,,3,1,0.33299999999999996,0,1.0,-1.0,6,13,46.2,26,1,46.2,34.7,6,16.7,25.0,6,0,0.0,0,,0,0,0,17,0,1,0.0,0.0,,1.3,0.08,-1.3,-1.3,537,638,84.2,9984,2744,17,34,50.0,408,444,91.9,112,160,70.0,0,0.8,9,39,7,0,32,590,48,10,1,88,20,23,9,3,4,0,440,84,114,92,501,13,20,3,2,11,8,19,19,17,0,1,0,1,0,0,0,0,0,0,0,26,16,9,14,3,4,16,25.0,12,179,52,29.1,56,80,43,14,2,0,12,9,18,0,752,69,241,360,197,33,707,7,14,50.0,9,0,484,2669,1435,609,88.2,17,6,0
2020-02-22,12:30 (18:00),Matchweek 27,Sat,Home,W,2,1,Tottenham,1.7,0.5,48,40608.0,César Azpilicueta,3-4-3,Michael Oliver,Match Report,,3,3,0.667,0,0.6,0.6,5,22,22.7,29,4,69.0,44.4,4,50.0,40.0,3,0,0.0,2,13.6,2,0,0,18,7,1,38.9,0.11,0.29,1.7,0.1,0.3,0.3,473,565,83.7,8319,2609,14,25,56.0,378,413,91.5,81,127,63.8,1,1.1,11,22,4,0,34,523,42,13,1,63,14,11,3,2,1,0,405,56,104,103,406,17,20,7,1,7,4,11,29,18,2,3,4,2,3,2,0,0,1,0,0,34,21,12,17,5,15,35,42.9,20,236,75,31.8,49,132,55,30,2,0,28,16,22,0,718,57,195,408,145,21,676,14,17,82.4,15,1,524,2243,1040,538,87.9,13,15,3
2020-02-29,15:00 (20:30),Matchweek 28,Sat,Away,D,2,2,Bournemouth,1.9,2.0,73,10667.0,César Azpilicueta,3-4-3,Andre Marriner,Match Report,,5,3,0.6,0,2.8,0.8,7,12,58.3,24,2,33.3,32.7,5,80.0,49.4,4,0,0.0,0,16.0,2,0,0,23,6,0,26.1,0.09,0.33,1.9,0.09,0.1,0.1,739,862,85.7,13851,3793,6,27,22.2,575,629,91.4,158,206,76.7,0,1.3,16,59,18,7,66,810,52,8,0,142,18,43,14,4,9,0,530,218,114,130,664,22,22,8,2,8,1,26,37,29,3,1,4,0,2,0,0,0,2,0,0,23,12,9,7,7,13,26,50.0,13,148,58,39.2,39,60,49,15,4,0,11,10,34,1,983,66,263,443,324,48,931,11,13,84.6,11,1,746,3448,1743,827,89.4,9,8,1
2020-03-08,14:00 (19:30),Matchweek 29,Sun,Home,W,4,0,Everton,2.0,0.5,61,40694.0,César Azpilicueta,4-3-3,Kevin Friend,Match Report,,2,2,1.0,1,0.1,0.1,11,18,61.1,33,3,39.4,35.2,7,71.4,54.9,6,2,33.3,0,11.5,4,0,0,18,11,1,61.1,0.22,0.36,2.0,0.11,2.0,2.0,583,664,87.8,12276,3849,11,16,68.8,414,449,92.2,158,199,79.4,4,1.8,15,30,9,2,52,622,42,10,3,210,21,16,6,1,3,0,473,95,96,140,465,19,18,6,0,6,5,7,31,21,4,4,1,1,8,7,0,1,0,0,0,17,11,6,10,1,6,18,33.3,12,130,45,34.6,34,68,28,12,2,0,10,8,17,0,773,74,276,371,176,26,731,24,33,72.7,25,0,607,2814,1434,646,90.2,13,10,3
2020-06-21,16:15 (20:45),Matchweek 30,Sun,Away,W,2,1,Aston Villa,1.4,1.2,73,,César Azpilicueta,4-3-3,Paul Tierney,Match Report,,4,3,0.75,0,1.1,0.1,3,10,30.0,26,4,30.8,32.5,4,50.0,42.0,7,0,0.0,1,21.0,2,0,0,19,5,0,26.3,0.11,0.4,1.4,0.07,0.6,0.6,631,749,84.2,12687,3334,3,16,18.8,460,519,88.6,168,214,78.5,2,1.2,14,56,17,4,73,697,52,9,0,112,18,37,10,0,8,1,505,111,133,135,542,23,27,6,0,15,6,16,27,24,2,1,0,0,4,4,0,0,0,0,0,9,5,4,3,2,2,7,28.6,5,116,46,39.7,31,54,31,8,1,0,7,8,22,0,831,55,182,393,304,37,780,10,13,76.9,10,1,564,3143,1827,726,86.9,4,7,3
2020-06-25,20:15 (00:45),Matchweek 31,Thu,Home,W,2,1,Manchester City,3.1,0.7,35,,César Azpilicueta,4-3-3,Stuart Attwell,Match Report,,2,1,0.5,0,0.4,-0.6,4,13,30.8,31,9,32.3,32.5,14,21.4,28.9,13,2,15.4,0,11.8,2,1,1,14,6,0,42.9,0.07,0.17,2.7,0.24,-1.1,-1.7,325,399,81.5,6591,2165,5,13,38.5,244,273,89.4,76,113,67.3,0,1.3,7,17,5,1,26,369,30,3,0,64,10,11,5,1,2,0,273,48,78,82,274,15,6,12,3,9,0,10,17,7,2,3,4,1,2,0,0,1,1,0,0,9,4,8,1,0,4,20,20.0,16,171,38,22.2,78,68,25,16,3,0,13,7,21,0,488,107,245,191,87,30,458,8,11,72.7,8,0,269,1666,1064,371,87.6,7,7,3
2020-07-01,20:15 (00:45),Matchweek 32,Wed,Away,L,2,3,West Ham,1.8,2.6,70,,César Azpilicueta,4-3-3,Martin Atkinson,Match Report,,4,1,0.25,0,2.3,-0.7,0,1,0.0,26,4,3.8,21.5,5,0.0,27.2,4,0,0.0,0,15.3,2,1,1,16,5,1,31.3,0.06,0.2,1.0,0.07,0.2,0.0,604,695,86.9,11183,3102,12,24,50.0,467,509,91.7,125,162,77.2,0,0.8,12,56,16,7,55,655,40,9,1,100,13,29,3,2,0,0,503,107,85,122,518,20,19,8,2,5,7,12,26,21,2,0,0,3,4,2,0,0,0,2,0,20,14,11,6,3,9,15,60.0,6,103,39,37.9,31,47,25,11,3,0,8,4,20,1,801,56,202,388,278,46,759,11,18,61.1,12,0,558,4050,2337,661,91.4,10,11,0
2020-07-04,20:00 (00:30),Matchweek 33,Sat,Home,W,3,0,Watford,2.6,0.5,70,,César Azpilicueta,4-3-3,Kevin Friend,Match Report,,3,3,1.0,1,0.5,0.5,3,5,60.0,23,4,21.7,28.7,4,0.0,22.8,7,0,0.0,0,13.7,3,1,1,20,8,4,40.0,0.1,0.25,1.8,0.1,0.4,0.2,677,764,88.6,12737,3188,12,22,54.5,508,556,91.4,157,186,84.4,2,1.3,10,58,13,1,45,729,35,8,1,125,17,17,5,1,2,0,574,100,90,103,605,20,17,7,1,8,7,11,31,22,1,0,3,5,6,5,0,0,0,1,0,14,12,6,6,2,3,14,21.4,11,78,33,42.3,18,40,20,13,1,0,12,10,21,0,874,59,220,471,242,34,838,7,11,63.6,7,1,615,3762,2044,739,91.6,15,15,3
2020-07-07,18:00 (22:30),Matchweek 34,Tue,Away,W,3,2,Crystal Palace,1.9,1.3,57,,César Azpilicueta,4-3-3,David Coote,Match Report,,4,1,0.5,0,1.4,-0.6,7,12,58.3,24,6,33.3,33.0,5,80.0,59.4,13,2,15.4,0,8.7,3,0,0,14,6,0,42.9,0.21,0.5,1.9,0.14,1.1,1.1,474,575,82.4,9107,2945,8,24,33.3,362,410,88.3,104,141,73.8,3,1.7,12,27,6,1,35,526,49,12,1,58,20,22,9,7,2,0,381,73,121,78,433,24,20,8,0,9,8,14,22,16,4,2,0,0,6,6,0,0,0,0,0,23,10,10,10,3,8,19,42.1,11,147,46,31.3,64,62,21,24,6,0,18,18,23,0,709,75,241,374,145,23,664,14,24,58.3,15,0,442,2850,1543,544,87.1,10,13,3
2020-07-11,17:30 (22:00),Matchweek 35,Sat,Away,L,0,3,Sheffield Utd,1.1,2.1,75,,César Azpilicueta,4-3-3,Andre Marriner,Match Report,,4,1,0.25,0,1.8,-1.2,3,4,75.0,29,5,6.9,25.7,7,28.6,34.3,7,0,0.0,1,19.2,0,0,0,15,4,1,26.7,0.0,0.0,1.1,0.08,-1.1,-1.1,736,851,86.5,14969,3515,5,15,33.3,537,587,91.5,194,249,77.9,0,0.7,12,48,13,5,53,794,57,8,0,93,27,35,6,2,2,1,608,120,123,114,663,20,32,5,0,8,7,13,27,20,2,1,2,2,0,0,0,0,0,0,0,9,6,4,5,0,3,10,30.0,7,125,38,30.4,59,26,40,11,3,0,8,14,26,1,943,67,290,487,242,24,890,7,13,53.8,8,1,736,4204,2263,786,93.6,12,4,0
2020-07-14,20:15 (00:45),Matchweek 36,Tue,Home,W,1,0,Norwich City,2.5,0.0,67,,César Azpilicueta,4-3-3,Jonathan Moss,Match Report,,0,0,,1,0.0,0.0,3,5,60.0,27,3,18.5,27.1,2,0.0,18.0,3,0,0.0,0,15.0,1,0,0,22,6,1,27.3,0.05,0.17,2.5,0.12,-1.5,-1.5,722,818,88.3,15025,3794,16,32,50.0,503,547,92.0,203,239,84.9,1,1.9,17,65,19,7,71,781,37,9,1,67,24,35,8,1,3,3,632,83,103,162,600,24,17,3,0,7,3,15,35,28,4,0,2,1,2,2,0,0,0,0,0,13,8,4,3,6,2,15,13.3,13,166,64,38.6,26,76,64,15,2,0,13,17,9,0,914,44,183,489,286,51,878,11,14,78.6,11,0,678,3719,1986,802,90.0,11,14,3
2019-08-11,14:00 (18:30),Matchweek 1,Sun,Home,D,0,0,Wolves,0.6,0.6,69,32015.0,Kasper Schmeichel,4-1-4-1,Andre Marriner,Match Report,,2,2,1.0,1,0.4,0.4,5,7,71.4,17,2,23.5,30.7,7,42.9,33.4,1,0,0.0,0,,0,0,0,17,1,0,5.9,0.0,0.0,0.6,0.04,-0.6,-0.6,589,706,83.4,10684,3071,13,34,38.2,463,520,89.0,113,152,74.3,0,0.3,10,34,9,1,55,648,58,14,3,43,15,29,12,5,4,2,512,79,115,154,490,21,24,6,0,12,10,23,19,14,3,1,0,1,0,0,0,0,0,0,0,28,20,9,12,7,12,31,38.7,19,175,68,38.9,42,72,61,11,1,0,10,8,22,0,841,49,194,450,250,33,787,24,39,61.5,27,1,621,3350,1870,679,86.7,13,13,1
2019-08-18,16:30 (21:00),Matchweek 2,Sun,Away,D,1,1,Chelsea,0.7,1.3,50,40629.0,Kasper Schmeichel,4-1-4-1,Oliver Langford,Match Report,,5,4,0.8,0,1.5,0.5,8,17,47.1,30,5,30.0,32.8,9,88.9,57.2,9,0,0.0,0,10.7,1,0,0,13,4,0,30.8,0.08,0.25,0.7,0.05,0.3,0.3,368,478,77.0,7733,2575,8,18,44.4,262,304,86.2,98,156,62.8,1,0.6,8,19,3,1,48,429,49,12,1,86,13,16,5,1,2,0,332,64,82,87,341,14,21,7,2,8,7,11,16,10,2,2,1,1,2,1,1,0,0,0,0,26,17,7,17,2,24,37,64.9,13,191,67,35.1,48,93,50,19,3,0,16,14,29,0,613,78,209,301,144,17,567,16,20,80.0,17,1,367,2079,1099,427,86.2,14,21,1
2019-08-24,15:00 (19:30),Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,0.8,0.8,51,30079.0,Kasper Schmeichel,4-4-2◆,Andy Madley,Match Report,,3,2,0.667,0,1.1,0.1,5,13,38.5,28,4,28.6,38.4,12,41.7,40.0,19,1,5.3,0,11.8,2,0,0,13,3,2,23.1,0.15,0.67,0.8,0.06,1.2,1.2,390,485,80.4,8096,2747,2,8,25.0,289,330,87.6,99,147,67.3,2,0.6,9,21,14,5,43,424,61,10,3,87,15,14,4,1,2,1,315,66,104,94,320,20,33,6,4,10,11,9,23,17,2,2,0,2,3,2,1,0,0,0,0,16,9,10,4,2,2,14,14.3,12,216,57,26.4,116,73,27,16,2,0,14,11,54,0,626,86,265,255,132,20,566,7,13,53.8,8,2,387,2013,1177,471,82.8,10,11,3
2019-08-31,15:00 (19:30),Matchweek 4,Sat,Home,W,3,1,Bournemouth,1.9,0.8,56,31613.0,Kasper Schmeichel,4-1-4-1,Peter Bankes,Match Report,,2,1,0.5,0,0.7,-0.3,3,15,20.0,28,3,35.7,38.0,6,83.3,65.2,5,1,20.0,1,14.2,3,0,0,13,5,0,38.5,0.23,0.6,1.9,0.14,1.1,1.1,467,593,78.8,8765,2649,11,22,50.0,344,405,84.9,112,166,67.5,3,1.8,12,23,6,1,37,541,52,12,2,134,14,14,4,0,1,0,397,84,112,137,390,22,28,8,2,8,10,14,23,20,2,0,0,1,4,4,0,0,0,0,0,23,18,10,9,4,4,17,23.5,13,178,72,40.4,65,82,31,25,4,0,21,12,28,1,715,64,230,351,167,32,667,8,16,50.0,8,0,451,2479,1290,559,83.5,14,10,3
2019-09-14,15:00 (19:30),Matchweek 5,Sat,Away,L,0,1,Manchester Utd,0.4,1.1,57,73689.0,Kasper Schmeichel,4-1-4-1,Martin Atkinson,Match Report,,4,4,1.0,0,1.2,0.2,10,17,58.8,28,3,46.4,38.6,7,57.1,49.7,3,0,0.0,0,11.0,0,0,0,9,3,1,33.3,0.0,0.0,0.4,0.05,-0.4,-0.4,397,500,79.4,7973,2639,6,22,27.3,297,336,88.4,94,142,66.2,0,0.2,4,27,2,0,34,444,56,12,0,69,20,23,9,1,5,0,296,92,112,109,336,15,26,4,2,4,14,14,10,6,1,2,0,1,0,0,0,0,0,0,0,26,15,12,11,3,12,31,38.7,19,209,67,32.1,54,116,39,21,1,0,20,10,32,0,634,53,205,309,153,23,578,17,28,60.7,19,1,424,2154,1085,484,82.0,11,9,0
2019-09-21,12:30 (17:00),Matchweek 6,Sat,Home,W,2,1,Tottenham,1.5,1.3,44,32129.0,Kasper Schmeichel,4-1-4-1,Paul Tierney,Match Report,,5,4,0.8,0,1.3,0.3,12,20,60.0,28,9,57.1,43.5,9,44.4,42.0,15,0,0.0,0,10.3,2,0,0,16,7,0,43.8,0.13,0.29,1.5,0.09,0.5,0.5,309,412,75.0,6311,2458,2,10,20.0,224,261,85.8,83,141,58.9,1,1.2,12,31,6,0,39,362,50,16,6,81,23,19,8,3,2,1,236,67,109,102,260,15,15,13,2,9,4,13,24,17,0,5,1,1,3,3,0,0,0,0,0,24,17,15,9,0,13,26,50.0,13,180,54,30.0,65,84,31,17,1,0,16,11,41,0,552,73,195,250,136,24,504,12,19,63.2,12,2,339,2130,1231,394,78.4,14,11,3
2019-09-29,16:30 (21:00),Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,1.1,0.1,69,32168.0,Kasper Schmeichel,4-1-4-1,Craig Pawson,Match Report,,0,0,,1,0.0,0.0,1,3,33.3,16,3,18.8,27.1,6,0.0,19.2,6,0,0.0,0,14.8,4,0,0,13,5,0,38.5,0.31,0.8,1.1,0.08,2.9,2.9,663,758,87.5,12669,3318,15,24,62.5,482,526,91.6,166,208,79.8,3,0.9,11,58,21,6,66,709,49,10,1,84,20,29,9,3,3,0,567,88,103,188,517,20,23,7,0,9,8,13,26,22,0,2,0,1,9,7,0,0,0,1,1,21,10,7,9,5,1,10,10.0,9,206,61,29.6,34,107,65,9,0,0,9,16,24,0,876,39,183,464,274,33,827,5,9,55.6,5,0,563,2725,1476,734,90.3,13,12,3
2019-10-05,15:00 (19:30),Matchweek 8,Sat,Away,L,1,2,Liverpool,0.2,2.8,47,53322.0,Kasper Schmeichel,4-1-4-1,Chris Kavanagh,Match Report,,7,6,0.857,0,3.0,1.0,13,24,54.2,31,7,54.8,40.3,9,77.8,63.6,10,0,0.0,2,16.2,1,0,0,2,1,0,50.0,0.5,1.0,0.2,0.1,0.8,0.8,364,488,74.6,7062,2515,7,26,26.9,271,315,86.0,86,147,58.5,1,0.2,1,25,5,0,34,440,48,12,0,60,14,19,6,4,0,1,294,68,126,107,316,21,18,13,2,8,7,21,2,2,0,0,0,0,2,2,0,0,0,0,0,14,12,9,1,4,2,21,9.5,19,187,58,31.0,68,78,41,21,4,0,17,19,39,0,607,78,265,245,135,11,559,14,22,63.6,16,1,373,2057,1078,434,83.9,14,11,0
2019-10-19,15:00 (19:30),Matchweek 9,Sat,Home,W,2,1,Burnley,1.3,1.5,62,32105.0,Kasper Schmeichel,4-1-4-1,Jonathan Moss,Match Report,,4,3,0.75,0,1.4,0.4,6,12,50.0,28,6,32.1,37.1,6,50.0,48.0,6,0,0.0,1,18.6,2,0,0,19,3,1,15.8,0.11,0.67,1.3,0.07,0.7,0.7,488,580,84.1,8987,2517,7,18,38.9,383,420,91.2,98,142,69.0,2,1.1,15,25,9,4,40,528,52,12,1,113,7,22,9,1,5,0,441,59,80,151,371,14,23,12,2,11,8,15,31,24,4,1,1,1,4,3,0,1,0,0,0,22,12,11,7,4,12,21,57.1,9,126,27,21.4,47,55,24,16,5,0,11,7,32,1,706,64,251,290,206,23,654,7,14,50.0,9,0,494,2752,1561,554,88.1,5,11,3
